epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,175.744,0.88389,0.49941,1.00552,0.95546,0.9808,0.97877,0.77165,0.85426,0.46126,1.0051,0.0096931,0.0096931,0.0096931
64,178.423,0.87105,0.48421,1.0044,0.98045,0.98419,0.99359,0.78602,0.82441,0.43432,0.98175,0.00968815,0.00968815,0.00968815
65,181.412,0.87252,0.48128,1.002,0.98665,0.98872,0.99279,0.76111,0.88193,0.45575,1.00107,0.0096832,0.0096832,0.0096832
66,184.23,0.881,0.48131,1.00472,0.97742,0.98325,0.99238,0.78539,0.82499,0.48738,0.98262,0.00967825,0.00967825,0.00967825
67,187.209,0.87962,0.48819,1.02018,0.98958,0.98646,0.99457,0.77577,0.84525,0.53667,0.98208,0.0096733,0.0096733,0.0096733
68,189.993,0.86528,0.47582,1.00068,0.99023,0.98848,0.99434,0.76576,0.88424,0.45369,1.00581,0.00966835,0.00966835,0.00966835
69,192.731,0.8787,0.48507,1.01655,0.98132,0.97967,0.99053,0.76669,0.86058,0.49024,1.00177,0.0096634,0.0096634,0.0096634
70,195.499,0.85311,0.47231,0.99669,0.9667,0.98648,0.98404,0.77934,0.81909,0.41262,0.98982,0.00965845,0.00965845,0.00965845
71,198.274,0.86882,0.46512,1.00348,0.98846,0.986,0.99459,0.79168,0.84217,0.41738,0.99848,0.0096535,0.0096535,0.0096535
72,201.178,0.86806,0.47078,1.00316,0.98514,0.99365,0.99419,0.78345,0.81012,0.42351,0.97403,0.00964855,0.00964855,0.00964855
73,203.962,0.86122,0.47438,0.99762,0.98451,0.98958,0.98694,0.77253,0.83927,0.42179,0.98861,0.0096436,0.0096436,0.0096436
74,206.742,0.86172,0.47398,1.00672,0.99377,0.99271,0.9938,0.78734,0.83904,0.40625,0.98852,0.00963865,0.00963865,0.00963865
