epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,132.619,0.8663,0.53361,1.01578,0.98088,0.98828,0.98673,0.76826,0.8277,0.46502,0.967,0.0096832,0.0096832,0.0096832
66,134.617,0.84772,0.53406,1.00693,0.99181,0.9906,0.98889,0.77693,0.81009,0.44396,0.96953,0.00967825,0.00967825,0.00967825
67,136.633,0.86074,0.52539,1.00424,0.99579,0.9897,0.99493,0.77086,0.86709,0.44216,0.99921,0.0096733,0.0096733,0.0096733
68,138.63,0.87424,0.53698,1.02095,0.9964,0.9879,0.995,0.77984,0.82922,0.43357,0.97066,0.00966835,0.00966835,0.00966835
69,140.621,0.85943,0.53071,1.0087,0.99262,0.98914,0.992,0.78117,0.81723,0.42162,0.96486,0.0096634,0.0096634,0.0096634
70,142.614,0.84349,0.53273,0.99227,0.9903,0.9777,0.98884,0.79326,0.8083,0.45247,0.96054,0.00965845,0.00965845,0.00965845
71,144.629,0.85021,0.52175,1.00947,0.98767,0.98626,0.99277,0.79302,0.79593,0.42839,0.96176,0.0096535,0.0096535,0.0096535
72,146.612,0.8528,0.51682,1.01612,0.99414,0.9886,0.99198,0.79535,0.80048,0.42684,0.97094,0.00964855,0.00964855,0.00964855
73,148.726,0.87273,0.52499,1.01424,0.99539,0.99356,0.99136,0.78767,0.81017,0.41521,0.96915,0.0096436,0.0096436,0.0096436
74,150.782,0.84319,0.52487,0.99688,0.99002,0.99507,0.99182,0.78776,0.78997,0.42643,0.94488,0.00963865,0.00963865,0.00963865
75,152.814,0.86295,0.51883,1.01729,0.98864,0.98535,0.99128,0.79016,0.78815,0.42992,0.96324,0.0096337,0.0096337,0.0096337
76,154.934,0.8365,0.51334,0.99885,0.99242,0.98941,0.98556,0.78672,0.79355,0.42107,0.9632,0.00962875,0.00962875,0.00962875
77,156.924,0.83739,0.50579,1.00594,0.99546,0.99382,0.98918,0.78873,0.78804,0.4084,0.95661,0.0096238,0.0096238,0.0096238
78,158.958,0.83327,0.5013,0.99652,0.99293,0.98979,0.99045,0.79042,0.79728,0.4106,0.96676,0.00961885,0.00961885,0.00961885
79,160.994,0.84097,0.50741,1.0122,0.98861,0.99439,0.99227,0.79038,0.7849,0.39667,0.96045,0.0096139,0.0096139,0.0096139
80,162.998,0.82763,0.50411,1.01001,0.99298,0.99896,0.99486,0.79127,0.81162,0.40263,0.97337,0.00960895,0.00960895,0.00960895
81,164.98,0.84979,0.50794,1.0135,0.98417,0.99385,0.9894,0.78545,0.77679,0.4083,0.96364,0.009604,0.009604,0.009604
82,166.993,0.82181,0.50316,0.99412,0.98909,0.98269,0.98868,0.78661,0.79196,0.45251,0.9621,0.00959905,0.00959905,0.00959905
83,168.999,0.84041,0.50004,0.99645,0.97892,0.99242,0.98899,0.78886,0.79644,0.4576,0.96499,0.0095941,0.0095941,0.0095941
84,171.034,0.81795,0.50058,0.99741,0.99015,0.97531,0.99247,0.78706,0.79045,0.50927,0.96332,0.00958915,0.00958915,0.00958915
85,173.113,0.82418,0.49991,1.00272,0.97126,0.98954,0.99147,0.77353,0.82751,0.44358,0.98402,0.0095842,0.0095842,0.0095842
86,175.083,0.8438,0.50038,1.01988,0.97244,0.98132,0.98886,0.7879,0.776,0.4433,0.96503,0.00957925,0.00957925,0.00957925
87,177.109,0.82685,0.49573,0.9985,0.98912,0.99044,0.98975,0.78205,0.777,0.41304,0.95633,0.0095743,0.0095743,0.0095743
88,179.235,0.82555,0.4969,0.98738,0.98799,0.99316,0.99432,0.78263,0.79518,0.43313,0.97302,0.00956935,0.00956935,0.00956935
89,181.201,0.829,0.49032,0.9995,0.98632,0.99349,0.9944,0.77302,0.83608,0.436,0.99967,0.0095644,0.0095644,0.0095644
90,183.25,0.83798,0.4992,1.00454,0.97841,0.97894,0.99293,0.78425,0.79086,0.48644,0.96913,0.00955945,0.00955945,0.00955945
91,185.282,0.8176,0.49363,1.00891,0.98803,0.99634,0.99057,0.79734,0.77357,0.39471,0.96051,0.0095545,0.0095545,0.0095545
92,187.258,0.82208,0.49473,1.00332,0.99428,0.99634,0.99479,0.78878,0.79359,0.38598,0.97457,0.00954955,0.00954955,0.00954955
93,189.232,0.82878,0.48425,1.00539,0.9863,0.98225,0.99472,0.79206,0.78602,0.40338,0.96525,0.0095446,0.0095446,0.0095446
94,191.267,0.794,0.47948,0.99657,0.9575,0.97329,0.98774,0.78368,0.79689,0.43187,0.96966,0.00953965,0.00953965,0.00953965
95,193.294,0.80848,0.47446,1.00255,0.97137,0.99029,0.99025,0.781,0.80976,0.45231,0.96042,0.0095347,0.0095347,0.0095347
96,195.332,0.81915,0.48488,0.99912,0.9872,0.99365,0.99109,0.78443,0.8184,0.40645,0.95801,0.00952975,0.00952975,0.00952975
97,197.361,0.8302,0.48034,1.0013,0.98482,0.98751,0.99157,0.7936,0.80296,0.42052,0.95425,0.0095248,0.0095248,0.0095248
