epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,140.975,0.84103,0.50489,1.01501,0.96521,0.97476,0.9866,0.78631,0.80646,0.45364,0.97647,0.00135261,0.00135261,0.00135261
56,143.24,0.85654,0.52152,1.03058,0.99787,0.99871,0.995,0.77752,0.84592,0.40551,0.99388,0.00135119,0.00135119,0.00135119
57,145.556,0.86886,0.5233,1.03291,0.98765,0.99273,0.99496,0.77904,0.84307,0.41775,0.97976,0.00134978,0.00134978,0.00134978
58,147.985,0.86605,0.51083,1.02507,0.97149,0.97658,0.99341,0.79037,0.80332,0.4733,0.96409,0.00134836,0.00134836,0.00134836
59,150.261,0.86048,0.51227,1.0388,0.97994,0.98884,0.99339,0.78957,0.80658,0.44735,0.97516,0.00134695,0.00134695,0.00134695
60,152.545,0.86101,0.51901,1.02843,0.98719,0.99683,0.99493,0.79375,0.78494,0.41614,0.95335,0.00134553,0.00134553,0.00134553
61,154.83,0.84982,0.51513,1.02275,0.98749,0.98752,0.99455,0.79151,0.80805,0.41299,0.95458,0.00134412,0.00134412,0.00134412
62,157.164,0.86346,0.53311,1.03306,0.99292,0.98958,0.99186,0.78564,0.81438,0.41176,0.95498,0.0013427,0.0013427,0.0013427
63,159.437,0.83947,0.504,1.00991,0.99218,0.9932,0.99421,0.77991,0.8413,0.40819,0.96818,0.00134129,0.00134129,0.00134129
64,161.72,0.86205,0.50261,1.02286,0.94509,0.93554,0.95746,0.74337,0.83994,0.52113,0.97141,0.00133987,0.00133987,0.00133987
65,164.047,0.84788,0.4914,1.01863,0.96395,0.98153,0.98091,0.76692,0.82971,0.43269,0.95569,0.00133846,0.00133846,0.00133846
66,166.355,0.84307,0.49866,1.01807,0.9959,0.9968,0.995,0.78915,0.80911,0.40522,0.95373,0.00133704,0.00133704,0.00133704
67,168.675,0.83935,0.4889,1.01388,0.97026,0.97823,0.99323,0.77962,0.81811,0.58301,0.9752,0.00133563,0.00133563,0.00133563
68,171.019,0.84361,0.50105,1.02972,0.98753,0.98351,0.99244,0.76716,0.85899,0.42417,1.01129,0.00133421,0.00133421,0.00133421
69,173.294,0.8528,0.49431,1.02912,0.97952,0.98612,0.99178,0.78439,0.80213,0.43567,0.95566,0.0013328,0.0013328,0.0013328
70,175.533,0.84934,0.49038,1.01068,0.98651,0.98844,0.99288,0.7874,0.80032,0.40002,0.96867,0.00133139,0.00133139,0.00133139
71,177.772,0.84113,0.49703,1.02152,0.99471,0.98995,0.99404,0.79142,0.79405,0.39653,0.96467,0.00132997,0.00132997,0.00132997
72,180.163,0.82122,0.47359,1.01259,0.99185,0.9829,0.99341,0.789,0.8085,0.40115,0.9658,0.00132856,0.00132856,0.00132856
73,182.461,0.83631,0.48573,1.01505,0.98097,0.99085,0.9912,0.78563,0.8019,0.43232,0.96886,0.00132714,0.00132714,0.00132714
74,184.779,0.83889,0.48027,1.00718,0.98585,0.99182,0.99201,0.75496,0.92839,0.47903,1.03197,0.00132573,0.00132573,0.00132573
75,187.152,0.85746,0.49168,1.02088,0.98545,0.99292,0.99298,0.78174,0.83264,0.41952,0.98283,0.00132431,0.00132431,0.00132431
76,189.432,0.81321,0.47418,0.99389,0.98585,0.99316,0.99393,0.78808,0.8093,0.4074,0.97664,0.0013229,0.0013229,0.0013229
77,191.743,0.82122,0.47405,1.00962,0.98703,0.99003,0.99456,0.78693,0.82883,0.43802,0.97513,0.00132148,0.00132148,0.00132148
78,194.046,0.81934,0.45923,1.00562,0.97077,0.99218,0.98795,0.78379,0.8165,0.48183,0.97086,0.00132007,0.00132007,0.00132007
79,196.303,0.80521,0.46755,1.00788,0.99123,0.99267,0.98895,0.80215,0.76028,0.37976,0.94661,0.00131865,0.00131865,0.00131865
80,198.577,0.811,0.47061,1.00866,0.98566,0.98771,0.99158,0.80062,0.76795,0.39314,0.95707,0.00131724,0.00131724,0.00131724
81,200.901,0.82507,0.47393,1.01763,0.98872,0.98443,0.9926,0.80498,0.76366,0.39077,0.95834,0.00131582,0.00131582,0.00131582
82,203.223,0.81956,0.46732,1.01282,0.99209,0.98767,0.99013,0.80188,0.78616,0.40203,0.95855,0.00131441,0.00131441,0.00131441
83,205.593,0.80528,0.45943,1.00475,0.99499,0.98999,0.99349,0.80266,0.78348,0.38305,0.95345,0.00131299,0.00131299,0.00131299
84,207.854,0.80674,0.46562,1.01096,0.99695,0.98308,0.99455,0.79645,0.78797,0.38678,0.96674,0.00131158,0.00131158,0.00131158
85,210.111,0.82488,0.47191,1.01709,0.98464,0.95431,0.9898,0.77929,0.819,0.48634,0.98053,0.00131016,0.00131016,0.00131016
86,212.311,0.83523,0.47967,1.03401,0.99743,0.99032,0.99496,0.77229,0.84251,0.43106,0.98892,0.00130875,0.00130875,0.00130875
87,214.555,0.81382,0.45839,1.00574,0.99757,0.99484,0.99496,0.7864,0.80876,0.3705,0.96848,0.00130733,0.00130733,0.00130733
88,216.835,0.81799,0.45472,1.0017,0.98678,0.99879,0.99432,0.79717,0.77307,0.37874,0.96259,0.00130592,0.00130592,0.00130592
89,219.231,0.78989,0.4534,0.9942,0.97757,0.97325,0.99418,0.78708,0.78624,0.44054,0.96035,0.00130451,0.00130451,0.00130451
90,221.49,0.80854,0.4568,1.00355,0.99092,0.97953,0.99403,0.79147,0.7906,0.48074,0.96847,0.00130309,0.00130309,0.00130309
91,223.717,0.80149,0.45435,1.01675,0.97921,0.98861,0.99212,0.7991,0.76513,0.40251,0.94862,0.00130168,0.00130168,0.00130168
92,226.021,0.81316,0.46477,1.00843,0.96032,0.97928,0.97954,0.78231,0.76838,0.50785,0.95794,0.00130026,0.00130026,0.00130026
93,228.217,0.80487,0.45786,1.00178,0.98395,0.97073,0.99155,0.7891,0.77697,0.43388,0.95665,0.00129885,0.00129885,0.00129885
94,230.497,0.78011,0.44498,0.99563,0.99398,0.98859,0.99464,0.79441,0.77482,0.39244,0.95211,0.00129743,0.00129743,0.00129743
95,232.776,0.79079,0.44936,0.99834,0.9924,0.99138,0.99496,0.79097,0.79217,0.4099,0.95221,0.00129602,0.00129602,0.00129602
96,234.98,0.77858,0.43824,0.98923,0.97491,0.97778,0.99348,0.78599,0.83589,0.41436,0.99433,0.0012946,0.0012946,0.0012946
97,237.242,0.80801,0.45207,1.00156,0.9908,0.98231,0.99409,0.79783,0.78906,0.38243,0.96471,0.00129319,0.00129319,0.00129319
98,239.424,0.78304,0.44704,1.00176,0.98326,0.98689,0.99373,0.78904,0.81014,0.38986,0.97467,0.00129177,0.00129177,0.00129177
99,241.615,0.8001,0.46851,1.0087,0.98305,0.97557,0.98821,0.78822,0.77409,0.41594,0.96161,0.00129036,0.00129036,0.00129036
100,243.842,0.7594,0.43907,0.97775,0.98791,0.98088,0.99351,0.79398,0.77743,0.39607,0.94957,0.00128894,0.00128894,0.00128894
101,246.192,0.77479,0.4485,0.99605,0.99117,0.98999,0.99455,0.79684,0.77303,0.39882,0.95321,0.00128753,0.00128753,0.00128753
102,248.568,0.78625,0.43443,0.99164,0.99604,0.98457,0.99477,0.79924,0.76335,0.38903,0.95477,0.00128611,0.00128611,0.00128611
103,250.836,0.77903,0.43886,0.99206,0.99607,0.98999,0.99487,0.80264,0.77186,0.39758,0.95768,0.0012847,0.0012847,0.0012847
104,253.163,0.79574,0.45023,1.00313,0.99495,0.99378,0.99476,0.79548,0.78597,0.37098,0.98053,0.00128328,0.00128328,0.00128328
105,255.562,0.79216,0.44102,1.00678,0.99786,0.9892,0.99479,0.79872,0.77998,0.3615,0.97592,0.00128187,0.00128187,0.00128187
106,257.922,0.76606,0.43022,0.98988,0.99192,0.99243,0.99442,0.81065,0.78126,0.3578,0.97448,0.00128046,0.00128046,0.00128046
107,260.235,0.79284,0.45394,1.00108,0.9927,0.99634,0.99312,0.79663,0.79544,0.36727,0.96885,0.00127904,0.00127904,0.00127904
108,262.563,0.79179,0.44435,1.01412,0.99951,0.99993,0.995,0.79426,0.81266,0.36,0.98497,0.00127763,0.00127763,0.00127763
109,264.876,0.78758,0.43291,0.99204,0.98269,0.99144,0.99101,0.79844,0.76634,0.37227,0.95594,0.00127621,0.00127621,0.00127621
110,267.088,0.7653,0.43634,0.99046,0.98634,0.97682,0.99146,0.7947,0.75713,0.37841,0.95432,0.0012748,0.0012748,0.0012748
111,269.325,0.78237,0.43734,0.99933,0.98818,0.97998,0.99031,0.78929,0.78651,0.40718,0.95137,0.00127338,0.00127338,0.00127338
112,271.751,0.78449,0.43762,0.99988,0.98664,0.98681,0.99139,0.80376,0.77457,0.37027,0.95153,0.00127197,0.00127197,0.00127197
113,274.007,0.77126,0.43405,0.98721,0.99805,0.98836,0.995,0.81001,0.75533,0.35624,0.95027,0.00127055,0.00127055,0.00127055
114,276.286,0.77352,0.4425,0.99485,0.9928,0.99459,0.995,0.79535,0.7722,0.37464,0.96311,0.00126914,0.00126914,0.00126914
115,278.568,0.78552,0.43273,1.01197,0.9891,0.99365,0.99451,0.78921,0.78413,0.39217,0.96703,0.00126772,0.00126772,0.00126772
116,280.789,0.7764,0.42213,0.99281,0.99729,0.98433,0.99486,0.79254,0.78491,0.38301,0.95825,0.00126631,0.00126631,0.00126631
117,283.055,0.79048,0.43188,0.99874,0.98014,0.98999,0.99002,0.77536,0.83235,0.3999,0.99274,0.00126489,0.00126489,0.00126489
118,285.391,0.80474,0.43868,1.00415,0.99372,0.99303,0.99059,0.79203,0.77738,0.37479,0.9502,0.00126348,0.00126348,0.00126348
119,287.662,0.78616,0.42641,1.00589,0.99378,0.99634,0.9894,0.78651,0.78062,0.37054,0.94655,0.00126206,0.00126206,0.00126206
120,290.015,0.76581,0.42445,0.98755,0.98299,0.99267,0.98864,0.79308,0.79263,0.37131,0.95028,0.00126065,0.00126065,0.00126065
121,292.351,0.78243,0.43828,0.99946,0.99488,0.99544,0.99165,0.80746,0.75902,0.36246,0.94142,0.00125923,0.00125923,0.00125923
122,294.567,0.77434,0.43002,0.99116,0.98934,0.9913,0.99228,0.79943,0.77313,0.36982,0.96027,0.00125782,0.00125782,0.00125782
123,296.784,0.77375,0.42797,0.98248,0.99453,0.98999,0.99174,0.80538,0.78589,0.36227,0.97836,0.00125641,0.00125641,0.00125641
124,299.03,0.78625,0.43216,1.00003,0.99088,0.99513,0.99139,0.80331,0.7851,0.36583,0.975,0.00125499,0.00125499,0.00125499
125,301.282,0.75041,0.42205,0.98037,0.99463,0.99445,0.99379,0.81049,0.75539,0.34218,0.95757,0.00125358,0.00125358,0.00125358
126,303.551,0.74193,0.41969,0.97987,0.99833,0.99727,0.995,0.80472,0.76773,0.34529,0.95863,0.00125216,0.00125216,0.00125216
127,305.874,0.75891,0.42687,1.00399,0.99788,0.99683,0.995,0.81212,0.76517,0.34245,0.94979,0.00125075,0.00125075,0.00125075
128,308.173,0.77027,0.42321,0.98818,0.99642,0.99719,0.995,0.79756,0.77985,0.34817,0.94917,0.00124933,0.00124933,0.00124933
129,310.518,0.77745,0.4244,0.98782,0.99155,1,0.995,0.80451,0.76947,0.35174,0.94616,0.00124792,0.00124792,0.00124792
130,312.818,0.76042,0.42117,0.97953,0.99866,0.99957,0.995,0.81458,0.74589,0.34901,0.9337,0.0012465,0.0012465,0.0012465
131,315.074,0.76502,0.4171,0.99068,0.99449,0.99092,0.99497,0.81108,0.76379,0.34475,0.93611,0.00124509,0.00124509,0.00124509
132,317.377,0.75718,0.40815,0.97367,0.99538,0.98816,0.99455,0.81916,0.74573,0.35593,0.93667,0.00124367,0.00124367,0.00124367
133,319.645,0.74373,0.41522,0.96828,0.99415,0.99075,0.99484,0.79365,0.78281,0.36867,0.94949,0.00124226,0.00124226,0.00124226
134,321.965,0.74699,0.41087,0.98051,0.99719,0.98902,0.99493,0.80407,0.78207,0.36077,0.94404,0.00124084,0.00124084,0.00124084
135,324.318,0.74189,0.42479,0.97627,0.99498,0.99066,0.99479,0.79221,0.80206,0.37794,0.94928,0.00123943,0.00123943,0.00123943
136,326.871,0.76239,0.42475,0.9737,0.9883,0.99683,0.99489,0.80334,0.75338,0.34632,0.93038,0.00123801,0.00123801,0.00123801
137,329.324,0.76486,0.41454,0.98477,0.99874,0.99554,0.99496,0.80868,0.76206,0.34638,0.9424,0.0012366,0.0012366,0.0012366
